fit_condition,file_type,parameter_type,spine_start,shrinkage&resize_factors,double_spine_area,RM,RA,CM,error,same_strange,weight_AMPA,weight_NMDA,exp2syn_tau1,exp2syn_tau2,NMDA_tau_r_NMDA,NMDA_tau_d_NMDA
const_param,z_correct.swc,RA=120,20,"[1.0, 1.0]",True,6877.0,120.0,3.0247470312139453,0.0604970082334349,same_strange,0.009999502639674631,2.4280292693385346e-07,1.714488776381748,1.2208492622864475,9.376984876837264,48.46963155411824
const_param,z_correct.swc,RA_min_error,20,"[1.0, 1.0]",True,7186.0,87.0,2.894682067027317,0.0548152710066319,same_strange,0.009999964702336349,4.463921999057339e-09,1.807770052162656,0.9139965192943086,11.10957172483528,62.27051308177748
const_param,z_correct.swc,RA=150,20,"[1.0, 1.0]",True,6632.0,150.0,3.1364875352319515,0.0710948097378053,same_strange,0.009999430672934222,1.0515686926593679e-06,1.745894501086515,1.527794324564081,11.135422620017243,55.25728544248678
const_param,z_correct.swc,RA_best_fit,20,"[1.0, 1.0]",True,6215.0,210.0,3.34693247524671,0.1016853696758864,same_strange,0.009997895620884944,1.0127093424527566e-05,2.095066934833279,2.3994657997660234,9.85125008484006,67.90643984208312
const_param,z_correct.swc,RA=120,20,"[1.1, 1.1]",False,8030.0,120.0,2.5904340390608094,0.0593229079138035,same_strange,0.00999968213761015,1.6816552435912227e-07,1.734890293963198,0.9488892849168231,13.130033873865306,82.21657634822051
const_param,z_correct.swc,RA_min_error,20,"[1.1, 1.1]",False,8321.0,92.0,2.4998420062081843,0.0560895599350609,same_strange,0.009998361030140703,1.545332340650935e-06,1.8086010205170162,0.7499151919974456,14.90305557050021,89.56923659532183
const_param,z_correct.swc,RA=150,20,"[1.1, 1.1]",False,7757.0,150.0,2.6816018220521207,0.0677286540438328,same_strange,0.009998881314069074,4.281696635067334e-07,1.9968008774245483,1.180171372081827,11.648185227293839,58.33858523180622
const_param,z_correct.swc,RA_best_fit,20,"[1.1, 1.1]",False,7156.0,230.0,2.9068174026912104,0.1000024425954928,same_strange,0.009998568765165878,1.161846577622437e-06,1.9814487034486994,1.9074652586160017,10.807770134884871,58.22097039793907
const_param,z_correct.swc,RA=120,20,"[1.0, 1.2]",False,8227.0,120.0,2.5284046838043395,0.0562258636915589,same_strange,0.00999970655888016,2.1665721785034952e-11,2.0120056143119616,0.809677372423103,10.761891537739464,68.06449349588095
const_param,z_correct.swc,RA_min_error,20,"[1.0, 1.2]",False,8210.0,122.0,2.533640113722083,0.0561108541368792,same_strange,0.009998313785480033,5.254030854541193e-07,1.7695666487932056,0.8216682015088861,14.582178235464188,89.12849776571801
const_param,z_correct.swc,RA=150,20,"[1.0, 1.2]",False,7988.0,150.0,2.604054248079407,0.0585628582121692,same_strange,0.00999998791191151,3.3945150086268094e-08,1.693218417503894,0.9948981233949199,12.18412215285897,79.26455843135524
const_param,z_correct.swc,RA_best_fit,20,"[1.0, 1.2]",False,7076.0,300.0,2.93968136428184,0.0994865062447482,same_strange,0.009994750233197921,8.157025013052746e-06,2.0930006222660262,2.25654490996397,11.775731431902468,76.21356710873303
const_param,z_correct.swc,RA=120,20,"[1.0, 1.0]",False,6571.0,120.0,3.165604220614564,0.0621556484003648,same_strange,0.009999535198183376,8.378576507678878e-08,1.7596249921809086,1.0167010157605183,7.272134590009995,84.03963316852396
const_param,z_correct.swc,RA_min_error,20,"[1.0, 1.0]",False,6892.0,85.0,3.0181638615290627,0.0559842821867967,same_strange,0.009999999999999985,4.613804295744044e-06,1.3798607809434846,0.7480282263528032,14.999618268191298,89.9993580686175
const_param,z_correct.swc,RA=150,20,"[1.0, 1.0]",False,6335.0,150.0,3.2835335964732915,0.0727219483670695,same_strange,0.009999763109255065,6.021773304552644e-07,1.780794138792443,1.2690925883331727,11.376657496024091,70.79334228602582
const_param,z_correct.swc,RA_best_fit,20,"[1.0, 1.0]",False,5986.0,204.0,3.474972491423037,0.1125765013835549,same_strange,0.009999085044166823,1.1748057277046015e-06,1.9974380288587845,1.7803923474677965,9.4406177174331,71.12329795244509
const_param,morphology.swc,RA_min_error,20,"[1.1, 1.1]",False,9176.0,74.0,2.2669120895442787,0.0527088108698121,same_strange,0.00999961627249489,0.0005167672340207496,0.7190971116803827,0.5956523326472897,14.999999998340627,89.99930362389611
const_param,morphology.swc,RA_min_error,20,"[1.0, 1.2]",False,9084.0,95.0,2.2898706884256166,0.0527180611380185,same_strange,0.009946095619938441,0.0005088199766377871,0.8662904385903646,0.6320936465089282,14.99999999996154,89.99999999997972
const_param,morphology.swc,RA_min_error,20,"[1.0, 1.0]",False,7611.0,68.0,2.733042351025923,0.0528105327354017,same_strange,0.009436279767742426,0.0005204808937747567,1.2764575777041984,0.6137291996915556,14.999798364464914,89.9237019183442
const_param,z_correct.swc,RA=120,20,"[1.0, 1.0]",True,6877.0,120.0,3.0247470312139453,0.0604970082334349,relative_strange,0.009999913858504359,0.0049473269431913654,2.0989005656797297,3.999112573353019,7.0575484678332785,25.06903675849831
const_param,z_correct.swc,RA_min_error,20,"[1.0, 1.0]",True,7186.0,87.0,2.894682067027317,0.0548152710066319,relative_strange,0.009999003230541776,0.001928044386333499,2.0990411401292826,3.9964040250293325,7.613668075033954,28.849455059935202
const_param,z_correct.swc,RA=150,20,"[1.0, 1.0]",True,6632.0,150.0,3.1364875352319515,0.0710948097378053,relative_strange,0.0099999945304905,0.004986283338995973,2.09983787252922,3.999579870651595,7.008417132394212,25.078294768018598
const_param,z_correct.swc,RA_best_fit,20,"[1.0, 1.0]",True,6215.0,210.0,3.34693247524671,0.1016853696758864,relative_strange,0.009999999999999998,0.00499999999999994,2.0999999999999943,4.0,7.000000000000002,25.000000000000053
const_param,z_correct.swc,RA=120,20,"[1.1, 1.1]",False,8030.0,120.0,2.5904340390608094,0.0593229079138035,relative_strange,0.009999903402836822,2.6095419913812882e-05,2.099564523916965,3.823196416652852,11.334873885896162,60.69238175684401
const_param,z_correct.swc,RA_min_error,20,"[1.1, 1.1]",False,8321.0,92.0,2.4998420062081843,0.0560895599350609,relative_strange,0.009999576130412611,1.9856119820159038e-05,2.0959923062823678,2.757769343363626,12.020676508575267,63.679985284963024
const_param,z_correct.swc,RA=150,20,"[1.1, 1.1]",False,7757.0,150.0,2.6816018220521207,0.0677286540438328,relative_strange,0.009999311608746935,0.0048589648039714575,2.0993605258965324,3.9957863908735263,7.141926975306792,25.237799320649124
const_param,z_correct.swc,RA_best_fit,20,"[1.1, 1.1]",False,7156.0,230.0,2.9068174026912104,0.1000024425954928,relative_strange,0.009999999999767046,0.0049995446894743525,2.0999988408935795,3.99982868674119,7.002352847621158,25.00416589617759
const_param,z_correct.swc,RA=120,20,"[1.0, 1.2]",False,8227.0,120.0,2.5284046838043395,0.0562258636915589,relative_strange,0.009999394199691317,2.412533162945038e-05,2.0969919642973647,2.874970193384386,12.987352326468358,46.10850223174346
const_param,z_correct.swc,RA_min_error,20,"[1.0, 1.2]",False,8210.0,122.0,2.533640113722083,0.0561108541368792,relative_strange,0.009999722630697419,3.082264199245426e-05,2.0965268178661054,2.934454913374427,13.115071144701087,54.01741127376973
const_param,z_correct.swc,RA=150,20,"[1.0, 1.2]",False,7988.0,150.0,2.604054248079407,0.0585628582121692,relative_strange,0.009999633073831355,5.32573303535006e-05,2.099192018567234,3.828604610893719,12.089147755520182,57.079728223013014
const_param,z_correct.swc,RA_best_fit,20,"[1.0, 1.2]",False,7076.0,300.0,2.93968136428184,0.0994865062447482,relative_strange,0.009999999893049635,0.004999902127926215,2.09999699417027,3.9999864784258095,7.000440479985194,25.001027132717617
const_param,z_correct.swc,RA=120,20,"[1.0, 1.0]",False,6571.0,120.0,3.165604220614564,0.0621556484003648,relative_strange,0.009998890989223892,0.0035238414058813435,2.0966605374061085,3.9816283115637305,7.341279286521785,27.460705790245953
const_param,z_correct.swc,RA_min_error,20,"[1.0, 1.0]",False,6892.0,85.0,3.0181638615290627,0.0559842821867967,relative_strange,0.009999731185227075,2.99214111897723e-05,2.096518752371358,2.8290840415140286,11.317324390462527,62.153086637956434
const_param,z_correct.swc,RA=150,20,"[1.0, 1.0]",False,6335.0,150.0,3.2835335964732915,0.0727219483670695,relative_strange,0.009999949623245238,0.004930803557416026,2.099422955679651,3.9979204140846605,7.046692663079732,25.17368172983924
const_param,z_correct.swc,RA_best_fit,20,"[1.0, 1.0]",False,5986.0,204.0,3.474972491423037,0.1125765013835549,relative_strange,0.009999961294773218,0.0049995510128385216,2.099929059063501,3.999953033367946,7.004587912083264,25.11688837926733
const_param,morphology.swc,RA_min_error,20,"[1.1, 1.1]",False,9176.0,74.0,2.2669120895442787,0.0527088108698121,relative_strange,0.009999963263072018,1.090677839608294e-05,2.030907440422717,2.0368635317166643,10.801843644824062,72.55409704451561
const_param,morphology.swc,RA_min_error,20,"[1.0, 1.2]",False,9084.0,95.0,2.2898706884256166,0.0527180611380185,relative_strange,0.009999837591181372,3.506341534748919e-05,2.078812332743895,2.0402388906720126,13.08842069495974,74.94340295262259
const_param,morphology.swc,RA_min_error,20,"[1.0, 1.0]",False,7611.0,68.0,2.733042351025923,0.0528105327354017,relative_strange,0.00999974759877483,1.6228170172097335e-05,2.0443015612106925,2.0543932438946704,11.364881027380239,66.04436218746721
